epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,0.0000,0.0000,0.0000
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,0.0000,0.0000,0.0000
31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
32,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
33,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
34,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
36,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
37,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
38,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
39,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,0.0000,0.0000,0.0000
41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
42,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
43,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
44,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
